unidad_academica,id_estudiante,carrera,regular,cnt_readmisiones,calidad,anio_plan_estudios,fecha_ingreso,total_actividades
ESCINFO,ESCINFO-5189,PA,S,0.0,A,2015,12/04/2020,30
ESCINFO,ESCINFO-5171,PB,S,2.0,A,2017,12/01/2020,25
ESCINFO,ESCINFO-5640,PA,N,0.0,P,2015,30/01/2020,30
ESCINFO,ESCINFO-5224,PA,S,1.0,P,2015,12/05/2020,30
ESCINFO,ESCINFO-5330,PA,N,2.0,P,2015,12/11/2020,30
ESCINFO,ESCINFO-5161,PA,N,0.0,A,2015,12/01/2020,30
ESCINFO,ESCINFO-5612,PA,S,2.0,P,2015,15/12/2020,30
ESCINFO,ESCINFO-5637,PA,S,1.0,A,2015,28/12/2020,30
ESCINFO,ESCINFO-5231,PD,N,1.0,P,2019,17/04/2020,40
ESCINFO,ESCINFO-5408,PA,S,2.0,P,2015,12/12/2020,30
ESCINFO,ESCINFO-5494,PA,S,2.0,P,2015,13/12/2020,30
ESCINFO,ESCINFO-5799,PE,N,1.0,P,2020,23/04/2020,15
ESCINFO,ESCINFO-5325,PA,N,1.0,P,2015,12/11/2020,30
ESCINFO,ESCINFO-5449,PA,S,1.0,P,2015,13/12/2020,30
ESCINFO,ESCINFO-5306,PA,S,1.0,A,2015,12/07/2020,30
ESCINFO,ESCINFO-5757,PA,N,0.0,P,2015,23/04/2020,30
ESCINFO,ESCINFO-5718,PC,S,1.0,P,2019,02/02/2020,28
ESCINFO,ESCINFO-5428,PC,S,1.0,P,2019,12/12/2020,28
ESCINFO,ESCINFO-5219,PA,N,2.0,P,2015,18/04/2020,30
ESCINFO,ESCINFO-5551,PA,S,1.0,A,2015,14/12/2020,30
ESCINFO,ESCINFO-5421,PA,S,1.0,A,2015,17/04/2020,30
ESCINFO,ESCINFO-5720,PA,S,0.0,A,2015,02/02/2020,30
ESCINFO,ESCINFO-5618,PA,S,1.0,P,2015,18/12/2020,30
ESCINFO,ESCINFO-5223,PA,S,1.0,A,2015,12/05/2020,30
ESCINFO,ESCINFO-5220,PE,N,1.0,P,2020,24/04/2020,15
ESCINFO,ESCINFO-5346,PC,S,2.0,A,2019,12/11/2020,28
ESCINFO,ESCINFO-5136,PA,S,0.0,A,2015,30/11/2020,30
ESCINFO,ESCINFO-5138,PA,N,0.0,A,2015,30/11/2020,30
ESCINFO,ESCINFO-5158,PA,N,2.0,P,2015,12/01/2020,30
ESCINFO,ESCINFO-5248,PA,N,1.0,P,2015,12/05/2020,30
ESCINFO,ESCINFO-5429,PA,S,0.0,A,2015,12/12/2020,30
ESCINFO,ESCINFO-5205,PC,S,1.0,A,2019,12/04/2020,28
ESCINFO,ESCINFO-5468,PA,S,1.0,P,2015,24/04/2020,30
ESCINFO,ESCINFO-5712,PA,N,1.0,A,2015,02/02/2020,30
ESCINFO,ESCINFO-5656,PC,S,1.0,P,2019,30/01/2020,28
ESCINFO,ESCINFO-5204,PC,S,2.0,A,2019,12/04/2020,28
ESCINFO,ESCINFO-5115,PA,N,1.0,P,2015,28/11/2020,30
ESCINFO,ESCINFO-5725,PA,S,1.0,A,2015,02/02/2020,30
ESCINFO,ESCINFO-5486,PA,S,2.0,P,2015,13/12/2020,30
ESCINFO,ESCINFO-5135,PA,N,1.0,P,2015,30/11/2020,30
ESCINFO,ESCINFO-5734,PA,S,1.0,A,2015,02/05/2020,30
ESCINFO,ESCINFO-5697,PA,N,1.0,A,2015,02/01/2020,30
ESCINFO,ESCINFO-5622,PA,N,1.0,P,2015,18/12/2020,30
ESCINFO,ESCINFO-5487,PB,S,0.0,A,2017,13/12/2020,25
ESCINFO,ESCINFO-5336,PA,N,1.0,P,2015,12/11/2020,30
ESCINFO,ESCINFO-5654,PC,N,2.0,P,2019,30/01/2020,28
ESCINFO,ESCINFO-5111,PC,S,1.0,P,2019,28/11/2020,28
ESCINFO,ESCINFO-5802,PA,N,2.0,P,2015,25/04/2020,30
ESCINFO,ESCINFO-5235,PB,S,1.0,A,2017,12/05/2020,25
ESCINFO,ESCINFO-5357,PA,S,1.0,A,2015,12/11/2020,30
ESCINFO,ESCINFO-5402,PA,N,2.0,P,2015,12/12/2020,30
ESCINFO,ESCINFO-5122,PA,S,1.0,P,2015,29/11/2020,30
ESCINFO,ESCINFO-5113,PC,N,1.0,P,2019,28/11/2020,28
ESCINFO,ESCINFO-5179,PA,N,1.0,P,2015,26/04/2020,30
ESCINFO,ESCINFO-4460,PA,N,0.0,A,2015,03/02/2020,30
ESCINFO,ESCINFO-5606,PA,S,2.0,P,2015,26/04/2020,30
ESCINFO,ESCINFO-5555,PC,N,0.0,P,2019,14/12/2020,28
ESCINFO,ESCINFO-5214,PC,S,0.0,P,2019,12/04/2020,28
ESCINFO,ESCINFO-5762,PA,S,0.0,P,2015,15/02/2020,30
ESCINFO,ESCINFO-5631,PA,N,1.0,A,2015,20/12/2020,30
ESCINFO,ESCINFO-5598,PA,N,0.0,P,2015,15/12/2020,30
ESCINFO,ESCINFO-5700,PA,S,2.0,P,2015,02/01/2020,30
ESCINFO,ESCINFO-5564,PD,N,0.0,P,2019,27/04/2020,40
ESCINFO,ESCINFO-5561,PA,N,0.0,P,2015,14/12/2020,30
ESCINFO,ESCINFO-5359,PC,N,2.0,A,2019,12/11/2020,28
ESCINFO,ESCINFO-5267,PA,N,1.0,P,2015,12/06/2020,30
ESCINFO,ESCINFO-5251,PA,S,1.0,P,2015,12/05/2020,30
ESCINFO,ESCINFO-5592,PA,N,2.0,P,2015,15/12/2020,30
ESCINFO,ESCINFO-5516,PA,S,0.0,A,2015,14/12/2020,30
ESCINFO,ESCINFO-5388,PA,S,2.0,P,2015,12/12/2020,30
ESCINFO,ESCINFO-5293,PA,S,1.0,P,2015,12/07/2020,30
ESCINFO,ESCINFO-5694,PB,N,2.0,P,2017,02/01/2020,25
ESCINFO,ESCINFO-5230,PA,S,1.0,A,2015,12/05/2020,30
ESCINFO,ESCINFO-5147,PA,S,0.0,P,2015,12/01/2020,30
ESCINFO,ESCINFO-5335,PB,S,0.0,A,2017,12/11/2020,25
ESCINFO,ESCINFO-5455,PC,S,2.0,A,2019,13/12/2020,28
ESCINFO,ESCINFO-5483,PD,S,1.0,A,2019,05/10/2020,40
ESCINFO,ESCINFO-5279,PB,N,1.0,P,2017,12/06/2020,25
ESCINFO,ESCINFO-5805,PE,S,1.0,A,2020,05/10/2020,15
ESCINFO,ESCINFO-2920,PE,S,1.0,A,2020,05/10/2020,15
ESCINFO,ESCINFO-1024,PE,N,1.0,P,2020,05/10/2020,15
ESCINFO,ESCINFO-5724,PB,S,0.0,A,2017,02/02/2020,25
ESCINFO,ESCINFO-5188,PC,S,1.0,A,2019,12/04/2020,28
ESCINFO,ESCINFO-5137,PA,N,1.0,A,2015,30/11/2020,30
ESCINFO,ESCINFO-5198,PA,N,1.0,P,2015,12/04/2020,30
ESCINFO,ESCINFO-5107,PE,N,1.0,P,2020,14/05/2020,15
ESCINFO,ESCINFO-5807,PE,S,1.0,P,2020,14/05/2020,15
ESCINFO,ESCINFO-5746,PB,N,0.0,P,2017,02/07/2020,25
ESCINFO,ESCINFO-5733,PA,N,2.0,P,2015,02/05/2020,30
ESCINFO,ESCINFO-5808,PE,N,1.0,P,2020,16/05/2020,15
ESCINFO,ESCINFO-5129,PC,S,1.0,P,2019,29/11/2020,28
ESCINFO,ESCINFO-5284,PC,S,2.0,P,2019,12/07/2020,28
ESCINFO,ESCINFO-5363,PD,S,1.0,P,2019,15/05/2020,40
ESCINFO,ESCINFO-5433,PA,N,1.0,P,2015,12/12/2020,30
ESCINFO,ESCINFO-5531,PC,N,0.0,A,2019,14/12/2020,28
ESCINFO,ESCINFO-3536,PB,N,0.0,A,2017,12/12/2018,25
ESCINFO,ESCINFO-1751,PA,S,2.0,P,2015,26/12/2018,30
ESCINFO,ESCINFO-758,PB,S,2.0,P,2017,05/03/2018,25
ESCINFO,ESCINFO-4512,PE,N,1.0,P,2020,13/04/2020,15
ESCINFO,ESCINFO-4,PB,N,1.0,P,2017,23/08/2020,25
ESCINFO,ESCINFO-4889,PA,N,0.0,P,2015,20/04/2020,30
ESCINFO,ESCINFO-5814,PE,N,1.0,A,2020,09/05/2020,15
ESCINFO,ESCINFO-4470,PA,S,1.0,P,2015,03/01/2018,30
ESCINFO,ESCINFO-4865,PA,S,1.0,A,2015,02/08/2016,30
ESCINFO,ESCINFO-3260,PC,N,1.0,A,2019,03/01/2020,28
ESCINFO,ESCINFO-600,PC,S,1.0,A,2019,03/01/2020,28
ESCINFO,ESCINFO-5686,PC,N,1.0,A,2019,02/01/2020,28
ESCINFO,ESCINFO-309,PC,S,1.0,P,2019,03/02/2020,28
ESCINFO,ESCINFO-5773,PC,N,1.0,P,2019,29/03/2020,28
ESCINFO,ESCINFO-5342,PC,N,1.0,A,2019,12/11/2020,28
ESCINFO,ESCINFO-5504,PC,S,2.0,A,2019,14/12/2020,28
ESCINFO,ESCINFO-5250,PC,S,1.0,A,2019,12/05/2020,28
ESCINFO,ESCINFO-5155,PC,N,1.0,P,2019,12/01/2020,28
ESCINFO,ESCINFO-5232,PC,S,1.0,P,2019,12/05/2020,28
ESCINFO,ESCINFO-5148,PC,S,2.0,A,2019,12/01/2020,28
ESCINFO,ESCINFO-5478,PC,S,1.0,A,2019,13/12/2020,28
ESCINFO,ESCINFO-5713,PC,S,0.0,P,2019,02/02/2020,28
ESCINFO,ESCINFO-5317,PC,S,2.0,A,2019,12/07/2020,28
ESCINFO,ESCINFO-5458,PC,S,1.0,P,2019,13/12/2020,28
ESCINFO,ESCINFO-5321,PC,S,2.0,P,2019,12/11/2020,28
ESCINFO,ESCINFO-5418,PC,S,1.0,P,2019,12/12/2020,28
ESCINFO,ESCINFO-5153,PC,S,2.0,P,2019,12/01/2020,28
ESCINFO,ESCINFO-5469,PC,N,0.0,P,2019,13/12/2020,28
ESCINFO,ESCINFO-5162,PC,N,1.0,A,2019,12/01/2020,28
ESCINFO,ESCINFO-5572,PC,N,0.0,A,2019,14/12/2020,28
ESCINFO,ESCINFO-5215,PC,S,0.0,A,2019,12/04/2020,28
ESCINFO,ESCINFO-5638,PC,N,0.0,P,2019,30/01/2020,28
ESCINFO,ESCINFO-5241,PC,S,0.0,A,2019,12/05/2020,28
ESCINFO,ESCINFO-5169,PC,N,2.0,P,2019,12/01/2020,28
ESCINFO,ESCINFO-5355,PC,S,2.0,A,2019,12/11/2020,28
ESCINFO,ESCINFO-1382,PB,S,2.0,P,2017,02/10/2018,25
ESCINFO,ESCINFO-1767,PB,N,2.0,A,2017,19/02/2018,25
ESCINFO,ESCINFO-731,PB,S,0.0,P,2017,05/02/2018,25
ESCINFO,ESCINFO-604,PB,N,2.0,P,2017,26/04/2018,25
ESCINFO,ESCINFO-888,PB,N,0.0,A,2017,05/02/2018,25
ESCINFO,ESCINFO-1434,PB,S,1.0,P,2017,13/06/2018,25
ESCINFO,ESCINFO-3657,PB,S,1.0,P,2017,17/12/2018,25
ESCINFO,ESCINFO-1618,PB,S,2.0,A,2017,12/12/2018,25
ESCINFO,ESCINFO-2296,PB,S,1.0,P,2017,12/02/2018,25
ESCINFO,ESCINFO-2298,PB,S,2.0,A,2017,12/02/2018,25
ESCINFO,ESCINFO-2462,PB,N,0.0,A,2017,12/10/2018,25
ESCINFO,ESCINFO-2615,PB,N,2.0,P,2017,18/12/2018,25
ESCINFO,ESCINFO-2645,PB,S,2.0,P,2017,18/12/2018,25
ESCINFO,ESCINFO-2721,PB,S,1.0,A,2017,20/12/2018,25
ESCINFO,ESCINFO-3034,PB,S,1.0,A,2017,03/04/2018,25
ESCINFO,ESCINFO-4195,PB,N,0.0,A,2017,29/03/2020,25
ESCINFO,ESCINFO-4281,PB,S,1.0,P,2017,04/05/2020,25
ESCINFO,ESCINFO-4956,PB,N,1.0,P,2017,25/04/2020,25
ESCINFO,ESCINFO-4958,PB,S,1.0,P,2017,25/04/2020,25
ESCINFO,ESCINFO-4987,PB,S,0.0,A,2017,26/04/2020,25
ESCINFO,ESCINFO-5030,PB,S,0.0,P,2017,28/04/2020,25
ESCINFO,ESCINFO-5768,PB,S,2.0,A,2017,03/01/2020,25
ESCINFO,ESCINFO-5249,PB,S,2.0,A,2017,12/05/2020,25
ESCINFO,ESCINFO-5538,PB,S,1.0,A,2017,14/12/2020,25
ESCINFO,ESCINFO-5566,PB,S,2.0,P,2017,14/12/2020,25
ESCINFO,ESCINFO-5444,PB,N,1.0,P,2017,13/12/2020,25
ESCINFO,ESCINFO-5792,PB,S,0.0,P,2017,20/04/2020,25
ESCINFO,ESCINFO-5645,PB,N,1.0,A,2017,30/01/2020,25
ESCINFO,ESCINFO-5185,PB,S,1.0,A,2017,12/01/2020,25
ESCINFO,ESCINFO-5459,PB,S,1.0,P,2017,13/12/2020,25
ESCINFO,ESCINFO-5263,PB,N,2.0,P,2017,12/06/2020,25
ESCINFO,ESCINFO-5318,PB,S,0.0,A,2017,12/11/2020,25
ESCINFO,ESCINFO-5625,PB,N,1.0,P,2017,19/12/2020,25
ESCINFO,ESCINFO-5431,PB,S,1.0,A,2017,12/12/2020,25
ESCINFO,ESCINFO-1213,PA,N,0.0,A,2015,05/11/2018,30
ESCINFO,ESCINFO-840,PB,N,2.0,P,2017,15/03/2020,25
ESCINFO,ESCINFO-3074,PC,N,0.0,P,2019,27/02/2020,28
ESCINFO,ESCINFO-2318,PE,S,0.0,A,2020,29/02/2020,15
ESCINFO,ESCINFO-2623,PC,N,2.0,P,2019,18/02/2020,28
ESCINFO,ESCINFO-4455,PD,S,2.0,A,2019,03/04/2020,40
ESCINFO,ESCINFO-4359,PD,N,1.0,P,2019,03/05/2020,40
ESCINFO,ESCINFO-3460,PA,N,2.0,A,2015,03/07/2020,30
ESCINFO,ESCINFO-4595,PA,N,1.0,A,2015,18/02/2020,30
ESCINFO,ESCINFO-4835,PA,N,1.0,P,2015,03/10/2020,30
ESCINFO,ESCINFO-1681,PA,N,1.0,P,2015,03/10/2020,30
ESCINFO,ESCINFO-2653,PE,S,1.0,A,2020,03/11/2020,15
ESCINFO,ESCINFO-3667,PA,N,1.0,A,2015,22/02/2020,30
ESCINFO,ESCINFO-1532,PA,N,1.0,P,2015,03/11/2020,30
ESCINFO,ESCINFO-3467,PD,N,1.0,A,2019,25/03/2020,40
ESCINFO,ESCINFO-1549,PC,S,1.0,A,2019,26/03/2020,28
ESCINFO,ESCINFO-6432,PA,S,2.0,A,2015,27/03/2020,30
ESCINFO,ESCINFO-4284,PD,S,2.0,P,2019,28/03/2020,40
ESCINFO,ESCINFO-5204,PA,S,0.0,P,2015,14/12/2020,30
ESCINFO,ESCINFO-1829,PA,S,1.0,P,2015,28/03/2020,30
ESCINFO,ESCINFO-6101,PA,N,2.0,A,2015,12/12/2020,30
ESCINFO,ESCINFO-6257,PA,N,1.0,P,2015,17/12/2020,30
ESCINFO,ESCINFO-6148,PC,S,2.0,A,2019,13/12/2020,28
ESCINFO,ESCINFO-6149,PA,S,0.0,A,2015,13/12/2020,30
ESCINFO,ESCINFO-5476,PA,S,2.0,P,2015,13/12/2020,30
ESCINFO,ESCINFO-5981,PA,S,1.0,P,2015,12/06/2020,30
ESCINFO,ESCINFO-5926,PA,S,1.0,A,2015,12/04/2020,30
ESCINFO,ESCINFO-6180,PA,N,1.0,A,2015,14/12/2020,30
ESCINFO,ESCINFO-6158,PA,S,1.0,P,2015,13/12/2020,30
ESCINFO,ESCINFO-5967,PA,S,2.0,A,2015,12/06/2020,30
ESCINFO,ESCINFO-6046,PC,S,1.0,A,2019,12/11/2020,28
ESCINFO,ESCINFO-6410,PA,S,1.0,A,2015,13/02/2020,30
ESCINFO,ESCINFO-5882,PB,N,2.0,A,2017,12/03/2020,25
ESCINFO,ESCINFO-5911,PA,N,1.0,P,2015,12/04/2020,30
ESCINFO,ESCINFO-6319,PA,S,1.0,P,2015,31/01/2020,30
ESCINFO,ESCINFO-5946,PC,S,1.0,P,2019,12/05/2020,28
ESCINFO,ESCINFO-6073,PA,S,1.0,P,2015,12/12/2020,30
ESCINFO,ESCINFO-6311,PA,N,1.0,P,2015,04/03/2020,30
ESCINFO,ESCINFO-6061,PA,N,2.0,A,2015,12/11/2020,30
ESCINFO,ESCINFO-5936,PA,S,2.0,P,2015,12/05/2020,30
ESCINFO,ESCINFO-5995,PA,S,2.0,A,2015,12/07/2020,30
ESCINFO,ESCINFO-6107,PA,S,1.0,P,2015,12/12/2020,30
ESCINFO,ESCINFO-5948,PB,N,2.0,A,2017,12/05/2020,25
ESCINFO,ESCINFO-5877,PA,N,1.0,A,2015,12/03/2020,30
ESCINFO,ESCINFO-6125,PA,N,1.0,P,2015,13/12/2020,30
ESCINFO,ESCINFO-5969,PA,N,0.0,P,2015,12/06/2020,30
ESCINFO,ESCINFO-6000,PA,S,0.0,A,2015,12/07/2020,30
ESCINFO,ESCINFO-6066,PA,N,0.0,P,2015,12/12/2020,30
ESCINFO,ESCINFO-6090,PA,N,0.0,A,2015,12/12/2020,30
ESCINFO,ESCINFO-6268,PA,S,0.0,P,2015,17/12/2020,30
ESCINFO,ESCINFO-941,PE,N,1.0,P,2020,04/03/2020,15
ESCINFO,ESCINFO-5897,PA,N,0.0,A,2015,12/03/2020,30
ESCINFO,ESCINFO-5970,PA,N,1.0,P,2015,12/06/2020,30
ESCINFO,ESCINFO-5860,PA,N,2.0,A,2015,29/11/2020,30
ESCINFO,ESCINFO-5669,PA,S,1.0,A,2015,04/04/2020,30
ESCINFO,ESCINFO-6071,PA,S,2.0,P,2015,12/12/2020,30
ESCINFO,ESCINFO-6104,PA,N,0.0,P,2015,12/12/2020,30
ESCINFO,ESCINFO-5929,PA,S,1.0,P,2015,12/05/2020,30
ESCINFO,ESCINFO-6151,PA,S,2.0,A,2015,13/12/2020,30
ESCINFO,ESCINFO-6183,PE,S,1.0,A,2020,14/12/2020,15
ESCINFO,ESCINFO-6360,PA,N,1.0,P,2015,02/06/2020,30
ESCINFO,ESCINFO-6114,PA,S,0.0,A,2015,12/12/2020,30
ESCINFO,ESCINFO-5823,PA,S,1.0,A,2015,27/11/2020,30
ESCINFO,ESCINFO-6137,PC,S,2.0,A,2019,13/12/2020,28
ESCINFO,ESCINFO-6152,PA,N,1.0,A,2015,13/12/2020,30
ESCINFO,ESCINFO-6226,PA,S,1.0,A,2015,14/12/2020,30
ESCINFO,ESCINFO-6169,PA,S,2.0,A,2015,13/12/2020,30
ESCINFO,ESCINFO-6129,PA,S,1.0,A,2015,13/12/2020,30
ESCINFO,ESCINFO-6366,PA,S,2.0,P,2015,02/07/2020,30
ESCINFO,ESCINFO-6342,PA,N,1.0,P,2015,02/05/2020,30
ESCINFO,ESCINFO-5101,PE,N,2.0,P,2020,04/07/2020,15
ESCINFO,ESCINFO-5978,PE,N,1.0,P,2020,12/06/2020,15
ESCINFO,ESCINFO-6199,PA,N,1.0,P,2015,14/12/2020,30
ESCINFO,ESCINFO-6312,PB,N,0.0,P,2017,30/01/2020,25
ESCINFO,ESCINFO-6448,PA,N,1.0,P,2015,04/04/2020,30
ESCINFO,ESCINFO-5982,PE,N,2.0,P,2020,04/10/2020,15
ESCINFO,ESCINFO-6356,PA,S,1.0,A,2015,02/06/2020,30
ESCINFO,ESCINFO-4628,PD,S,1.0,A,2019,24/04/2020,40
ESCINFO,ESCINFO-5072,PD,S,0.0,A,2019,15/05/2020,40
ESCINFO,ESCINFO-5210,PD,S,1.0,P,2019,12/04/2020,40
ESCINFO,ESCINFO-5119,PD,S,0.0,A,2019,18/04/2020,40
ESCINFO,ESCINFO-5353,PD,N,2.0,A,2019,17/04/2020,40
ESCINFO,ESCINFO-5225,PB,S,1.0,A,2017,12/05/2020,25
