,carrera,regular,cnt_readmisiones,calidad,estado_civil,sexo,sit_laboral,tipo_residencia,modalidad_cursa,distancia_sede,actividades_u12m,edad,inactividad,avance_carrera
48,PE,S,1.0,A,1.0,1,NC,4.0,D,1,4,21,1,0.4666666666666667
49,PB,N,1.0,P,1.0,2,NC,-1.0,D,-1,4,22,3,0.52
50,PB,N,2.0,A,1.0,1,NC,-1.0,D,1,7,20,3,0.6
51,PB,S,1.0,P,1.0,2,NC,2.0,H,1,3,21,1,0.44
52,PA,N,0.0,P,1.0,2,NC,-1.0,P,1,2,19,3,0.2
53,PD,N,1.0,P,1.0,2,NC,-1.0,P,-1,1,19,1,0.3
54,PE,N,2.0,P,1.0,1,NC,-1.0,H,-1,0,18,0,0.06666666666666667
55,PA,S,1.0,P,1.0,1,NC,-1.0,H,2,2,21,1,0.26666666666666666
56,PA,S,1.0,A,1.0,1,NC,-1.0,D,-1,6,19,2,0.7333333333333333
57,PA,N,1.0,P,1.0,2,NC,2.0,H,-1,0,19,2,0.2
58,PA,N,2.0,P,1.0,2,S,4.0,H,2,0,19,1,0.03333333333333333
59,PA,S,0.0,P,1.0,2,NC,1.0,D,-1,3,21,3,0.36666666666666664
60,PD,N,1.0,P,1.0,2,NC,-1.0,P,-1,2,19,2,0.225
61,PA,S,2.0,P,1.0,2,NC,1.0,P,3,0,19,2,0.06666666666666667
62,PA,N,0.0,A,1.0,1,NC,1.0,H,-1,7,21,1,0.4666666666666667
63,PE,S,1.0,A,2.0,2,NC,-1.0,H,3,1,22,3,0.2
64,PB,S,1.0,P,1.0,1,NC,-1.0,H,-1,3,19,3,0.44
65,PB,S,2.0,A,1.0,1,NC,-1.0,D,-1,8,19,1,0.8
66,PC,S,1.0,A,1.0,2,NC,-1.0,H,-1,2,21,2,0.17857142857142858
67,PA,S,0.0,P,1.0,1,NC,1.0,H,3,0,18,0,0.03333333333333333
68,PE,S,0.0,A,1.0,2,NC,-1.0,H,-1,2,20,2,0.26666666666666666
69,PB,N,1.0,P,1.0,1,NC,-1.0,P,-1,2,18,0,0.24
70,PB,S,0.0,A,1.0,2,NC,1.0,H,1,4,19,2,0.56
71,PC,N,1.0,P,1.0,1,NC,-1.0,P,-1,1,20,1,0.25
72,PA,N,1.0,P,1.0,1,NC,2.0,H,1,0,21,1,0.13333333333333333
73,PC,N,2.0,P,1.0,2,NC,-1.0,D,-1,0,21,2,0.25
74,PE,S,1.0,A,1.0,1,NC,-1.0,H,3,4,21,1,0.4666666666666667
75,PB,S,1.0,A,1.0,2,NC,1.0,P,2,5,22,1,0.36
76,PB,N,0.0,A,1.0,2,NC,-1.0,D,-1,3,20,1,0.4
77,PE,S,1.0,A,1.0,1,NC,-1.0,P,-1,1,18,0,0.26666666666666666
78,PA,N,2.0,P,1.0,1,NC,2.0,P,3,0,20,1,0.06666666666666667
79,PA,S,1.0,P,1.0,1,NC,-1.0,P,-1,0,21,2,0.16666666666666666
80,PB,N,2.0,P,1.0,1,NC,-1.0,H,2,2,21,2,0.2
81,PC,N,2.0,P,1.0,1,NC,1.0,P,2,1,20,1,0.2857142857142857
82,PB,S,2.0,P,1.0,2,NC,-1.0,D,2,2,19,1,0.24
83,PE,S,1.0,P,1.0,2,NC,-1.0,H,3,0,21,1,0.13333333333333333
84,PE,S,1.0,A,1.0,1,NC,1.0,H,1,2,18,0,0.26666666666666666
85,PB,S,1.0,A,1.0,1,NC,-1.0,H,-1,4,19,1,0.48
86,PB,S,1.0,A,1.0,1,NC,1.0,H,1,6,22,1,0.48
87,PD,N,1.0,A,1.0,2,NC,1.0,H,1,7,21,1,0.325
88,PA,N,1.0,A,1.0,2,NC,2.0,H,1,6,18,0,0.4
89,PB,S,1.0,P,1.0,1,NC,-1.0,D,1,4,21,1,0.6
90,PE,S,1.0,A,1.0,2,NC,-1.0,D,2,2,21,2,0.3333333333333333
91,PB,S,1.0,A,1.0,2,NC,2.0,P,2,4,20,2,0.32
92,PA,S,2.0,A,1.0,2,NC,4.0,D,3,8,19,2,0.8666666666666667
93,PA,N,2.0,P,1.0,2,NC,1.0,P,-1,5,20,1,0.6
94,PB,S,1.0,A,1.0,2,NC,-1.0,P,-1,6,21,2,0.72
95,PA,N,0.0,A,1.0,2,NC,-1.0,H,-1,8,22,2,0.5333333333333333
96,PC,N,0.0,P,1.0,1,NC,-1.0,D,-1,1,19,1,0.21428571428571427
97,PC,S,1.0,P,1.0,2,NC,-1.0,H,-1,2,18,0,0.25
98,PE,N,2.0,P,1.0,1,N,1.0,P,2,0,21,2,0.06666666666666667
99,PE,S,1.0,A,1.0,1,NC,-1.0,P,3,2,21,1,0.26666666666666666
100,PC,N,0.0,A,1.0,1,NC,2.0,P,2,6,22,5,0.42857142857142855
101,PA,N,1.0,A,1.0,1,NC,2.0,P,1,6,21,2,0.4666666666666667
102,PC,N,1.0,A,1.0,1,NC,-1.0,P,-1,6,21,3,0.4642857142857143
103,PA,S,1.0,A,1.0,1,NC,-1.0,H,3,9,19,1,0.6333333333333333
104,PA,N,2.0,P,1.0,2,NC,-1.0,H,-1,4,21,3,0.43333333333333335
105,PA,S,0.0,A,1.0,1,NC,-1.0,D,-1,6,19,1,0.3333333333333333
106,PA,S,1.0,A,1.0,2,NC,-1.0,D,-1,3,18,0,0.16666666666666666
107,PB,N,1.0,A,1.0,1,NC,-1.0,P,-1,6,21,2,0.64
108,PE,S,2.0,A,1.0,2,NC,-1.0,P,3,4,18,0,0.4
109,PE,N,1.0,A,1.0,1,NC,-1.0,D,3,2,18,0,0.4666666666666667
110,PA,N,1.0,A,1.0,2,NC,2.0,D,-1,6,18,0,0.4
111,PA,S,1.0,P,1.0,1,NC,1.0,D,-1,2,21,3,0.23333333333333334
112,PB,S,2.0,A,1.0,2,NC,-1.0,H,-1,4,19,3,0.56
113,PB,N,1.0,P,1.0,2,NC,-1.0,D,-1,0,22,1,0.08
114,PE,N,1.0,P,1.0,1,NC,-1.0,P,-1,1,21,2,0.26666666666666666
115,PC,N,1.0,A,1.0,1,NC,1.0,P,1,6,20,2,0.4642857142857143
116,PC,S,1.0,A,1.0,2,NC,1.0,D,1,2,19,5,0.17857142857142858
117,PA,S,1.0,P,1.0,2,NC,1.0,H,1,1,20,2,0.2
118,PC,S,0.0,A,1.0,2,NC,-1.0,D,2,4,21,2,0.25
119,PA,N,0.0,P,1.0,2,NC,1.0,P,1,1,18,0,0.23333333333333334
120,PE,N,0.0,P,1.0,2,NC,-1.0,P,1,0,21,1,0.26666666666666666
121,PA,N,2.0,A,1.0,2,NC,-1.0,D,-1,3,18,0,0.16666666666666666
122,PD,N,1.0,A,1.0,2,NC,-1.0,D,-1,9,18,0,0.35
123,PB,N,2.0,P,1.0,2,NC,1.0,D,-1,0,22,2,0.0
124,PE,S,2.0,A,1.0,1,NC,-1.0,H,3,3,20,1,0.4666666666666667
125,PB,N,2.0,A,1.0,2,NC,2.0,P,1,3,21,3,0.36
126,PC,S,1.0,P,1.0,1,NC,-1.0,H,-1,0,21,3,0.21428571428571427
127,PA,S,1.0,A,1.0,1,NC,2.0,P,1,7,20,1,0.8
128,PE,N,1.0,A,1.0,1,NC,1.0,H,1,2,21,2,0.26666666666666666
129,PB,N,0.0,A,1.0,2,NC,-1.0,P,-1,4,19,2,0.56
130,PA,N,2.0,P,1.0,1,NC,-1.0,P,3,0,19,2,0.06666666666666667
131,PB,N,1.0,A,1.0,2,NC,-1.0,P,1,4,20,2,0.64
132,PA,N,0.0,A,1.0,2,S,1.0,H,4,6,20,2,0.43333333333333335
133,PB,S,1.0,P,1.0,2,NC,-1.0,D,2,1,19,2,0.16
134,PB,S,1.0,P,1.0,1,NC,1.0,H,2,2,19,2,0.2
135,PA,N,1.0,A,1.0,1,NC,-1.0,H,-1,3,21,2,0.23333333333333334
136,PB,N,1.0,P,1.0,2,NC,1.0,H,1,4,22,1,0.56
137,PB,S,0.0,A,1.0,2,NC,-1.0,P,-1,5,20,2,0.44
138,PA,S,0.0,P,1.0,1,NC,-1.0,H,-1,3,21,2,0.36666666666666664
139,PA,S,0.0,P,1.0,1,NC,2.0,H,3,0,18,0,0.06666666666666667
140,PD,N,1.0,P,1.0,2,NC,-1.0,P,-1,2,19,1,0.25
141,PB,S,0.0,A,1.0,2,NC,1.0,H,-1,3,20,3,0.44
142,PE,N,0.0,A,1.0,2,NC,2.0,H,1,2,18,0,0.2
143,PA,N,2.0,P,1.0,2,NC,-1.0,H,3,0,21,1,0.1
144,PA,S,1.0,A,1.0,1,NC,-1.0,P,2,5,21,1,0.4
145,PE,N,1.0,P,1.0,1,NC,-1.0,P,-1,1,20,1,0.3333333333333333
146,PA,N,0.0,P,1.0,1,NC,-1.0,D,1,3,20,1,0.23333333333333334
147,PE,N,1.0,A,1.0,2,NC,-1.0,H,-1,4,19,1,0.5333333333333333
148,PB,N,1.0,P,1.0,1,NC,-1.0,H,-1,0,20,2,0.04
149,PD,N,1.0,A,1.0,1,NC,-1.0,D,-1,2,19,1,0.15
150,PA,N,2.0,P,1.0,1,NC,-1.0,P,3,0,21,1,0.06666666666666667
151,PE,S,1.0,A,2.0,1,NC,-1.0,P,3,1,18,0,0.2
152,PE,N,1.0,A,1.0,1,NC,-1.0,D,-1,4,21,2,0.4666666666666667
153,PA,N,0.0,P,1.0,2,NC,-1.0,P,-1,1,18,0,0.26666666666666666
154,PB,N,0.0,P,1.0,2,NC,2.0,D,2,0,21,2,0.08
155,PB,S,2.0,P,1.0,1,NC,1.0,P,2,1,19,2,0.2
156,PA,N,1.0,P,1.0,2,NC,2.0,D,1,1,18,0,0.16666666666666666
157,PD,N,2.0,P,1.0,2,NC,-1.0,P,-1,0,20,1,0.025
158,PB,N,2.0,A,1.0,2,NC,2.0,D,1,2,20,1,0.2
159,PB,N,0.0,A,1.0,2,NC,-1.0,H,1,5,20,1,0.32
160,PB,S,0.0,A,1.0,1,NC,-1.0,H,1,4,21,2,0.36
161,PB,S,2.0,A,1.0,1,NC,-1.0,P,1,7,18,0,0.48
162,PB,S,1.0,A,1.0,1,NC,-1.0,P,-1,5,21,2,0.36
163,PA,S,1.0,A,1.0,1,NC,-1.0,P,3,6,18,0,0.43333333333333335
164,PD,N,1.0,P,1.0,2,NC,-1.0,H,-1,1,21,2,0.1
165,PA,S,0.0,A,1.0,2,NC,-1.0,H,-1,4,21,2,0.3
166,PA,N,1.0,P,1.0,1,NC,-1.0,H,3,0,21,1,0.16666666666666666
167,PE,S,0.0,A,1.0,2,NC,-1.0,P,3,2,21,2,0.4
168,PB,S,1.0,P,1.0,1,NC,-1.0,P,-1,1,20,1,0.16
169,PD,S,2.0,P,1.0,1,NC,-1.0,H,-1,1,21,2,0.15
170,PA,S,1.0,A,1.0,2,NC,4.0,D,2,4,21,2,0.36666666666666664
171,PC,S,2.0,A,1.0,2,NC,-1.0,P,-1,8,20,2,0.5
172,PE,N,0.0,A,1.0,2,NC,2.0,H,1,1,18,0,0.13333333333333333
173,PA,S,1.0,A,1.0,1,NC,2.0,D,-1,9,20,2,0.5
174,PD,N,1.0,P,1.0,2,NC,-1.0,D,-1,1,21,1,0.225
175,PC,N,0.0,P,1.0,1,NC,1.0,H,3,0,19,2,0.07142857142857142
176,PA,S,2.0,A,1.0,1,NC,-1.0,D,-1,6,21,1,0.3333333333333333
177,PA,N,1.0,P,1.0,1,NC,-1.0,H,3,2,20,2,0.26666666666666666
178,PA,N,0.0,A,1.0,2,NC,-1.0,P,1,4,19,1,0.26666666666666666
179,PA,N,0.0,P,1.0,1,NC,1.0,H,3,1,18,0,0.16666666666666666
180,PC,N,1.0,P,1.0,1,NC,2.0,P,1,0,21,1,0.03571428571428571
181,PA,N,2.0,P,1.0,1,NC,4.0,H,-1,0,20,2,0.03333333333333333
182,PB,N,2.0,P,1.0,2,NC,1.0,D,-1,1,20,2,0.16
183,PE,N,2.0,P,1.0,1,NC,-1.0,H,2,0,18,0,0.0
184,PD,S,2.0,A,2.0,2,NC,-1.0,H,2,11,20,1,0.5
185,PA,N,0.0,A,1.0,2,NC,-1.0,P,-1,6,20,2,0.4666666666666667
186,PB,S,1.0,P,1.0,1,NC,-1.0,D,2,0,21,2,0.0
187,PA,S,1.0,P,1.0,2,NC,1.0,H,1,2,20,1,0.23333333333333334
188,PA,S,2.0,A,1.0,1,NC,4.0,H,3,5,20,2,0.26666666666666666
189,PB,S,1.0,P,1.0,1,NC,1.0,H,2,0,19,1,0.28
190,PE,N,1.0,P,1.0,1,NC,-1.0,H,-1,0,21,2,0.26666666666666666
191,PA,S,1.0,A,1.0,1,NC,-1.0,P,-1,2,18,0,0.2
192,PB,N,2.0,A,1.0,2,NC,1.0,H,2,7,18,0,0.48
193,PD,N,1.0,A,1.0,2,NC,-1.0,D,-1,8,20,1,0.375
194,PC,N,0.0,A,1.0,1,NC,1.0,D,1,1,21,1,0.14285714285714285
195,PD,S,1.0,A,1.0,1,S,4.0,H,1,9,19,2,0.425
196,PA,N,1.0,A,1.0,1,NC,1.0,P,2,3,18,0,0.26666666666666666
197,PB,N,2.0,A,1.0,1,NC,3.0,H,1,4,20,2,0.36
198,PC,N,1.0,A,1.0,1,NC,2.0,D,3,4,21,2,0.2857142857142857
199,PD,S,0.0,A,1.0,2,NC,-1.0,P,-1,10,18,0,0.475
200,PD,N,2.0,A,1.0,1,NC,-1.0,H,-1,10,21,1,0.4
201,PD,S,1.0,A,1.0,1,NC,-1.0,P,-1,3,21,1,0.15
202,PA,N,1.0,P,1.0,2,NC,2.0,P,3,1,18,0,0.26666666666666666
203,PD,S,1.0,A,1.0,2,NC,1.0,H,3,7,20,2,0.425
204,PA,S,2.0,A,1.0,2,NC,-1.0,P,-1,2,20,1,0.13333333333333333
205,PA,S,1.0,A,1.0,2,NC,-1.0,P,-1,4,18,0,0.3
206,PB,N,0.0,P,6.0,1,NC,1.0,H,3,1,18,0,0.24
207,PA,N,1.0,P,1.0,1,NC,-1.0,D,-1,1,21,1,0.13333333333333333
208,PD,S,0.0,A,1.0,1,NC,1.0,H,3,2,19,1,0.125
209,PC,S,0.0,A,1.0,1,NC,1.0,D,1,8,18,0,0.5
210,PC,S,2.0,P,1.0,1,NC,1.0,H,1,2,21,1,0.2857142857142857
211,PC,S,0.0,A,1.0,1,N,4.0,P,2,3,19,2,0.25
212,PA,S,2.0,P,1.0,1,NC,2.0,H,1,2,20,2,0.26666666666666666
213,PA,S,1.0,P,1.0,1,NC,-1.0,H,-1,2,21,2,0.3
214,PD,S,0.0,P,1.0,1,NC,-1.0,H,-1,1,18,0,0.2
215,PA,S,1.0,P,1.0,1,NC,1.0,H,-1,1,19,2,0.26666666666666666
216,PA,N,1.0,P,1.0,2,NC,-1.0,P,3,0,21,2,0.13333333333333333
217,PE,S,2.0,P,1.0,2,NC,1.0,D,3,0,20,1,0.13333333333333333
218,PA,S,2.0,A,1.0,2,NC,-1.0,P,-1,5,20,1,0.26666666666666666
219,PC,N,0.0,P,1.0,1,NC,1.0,H,1,0,18,0,0.10714285714285714
220,PA,N,1.0,P,1.0,2,NC,-1.0,P,-1,1,19,2,0.2
221,PB,N,2.0,P,1.0,2,S,1.0,D,4,0,20,1,0.04
222,PE,S,1.0,A,1.0,1,NC,2.0,P,1,3,20,1,0.3333333333333333
223,PA,S,1.0,A,1.0,1,NC,-1.0,H,2,6,22,3,0.7
224,PA,S,2.0,A,1.0,1,NC,-1.0,P,3,3,21,1,0.26666666666666666
225,PA,S,2.0,A,1.0,1,NC,-1.0,H,3,3,19,2,0.23333333333333334
226,PA,S,0.0,A,1.0,2,S,1.0,H,1,1,21,1,0.1
227,PE,S,1.0,A,1.0,1,NC,-1.0,P,-1,2,20,1,0.2
228,PA,N,0.0,P,1.0,2,NC,-1.0,H,1,1,20,2,0.3
229,PB,S,0.0,P,1.0,1,NC,1.0,P,2,0,21,2,0.08
230,PE,N,1.0,A,1.0,1,NC,-1.0,H,-1,3,21,1,0.4666666666666667
231,PA,S,1.0,A,1.0,1,NC,2.0,P,1,3,21,1,0.16666666666666666
232,PE,S,2.0,A,1.0,1,NC,-1.0,D,-1,1,20,1,0.13333333333333333
233,PA,S,2.0,A,1.0,2,NC,-1.0,H,3,2,18,0,0.2
234,PA,N,2.0,P,1.0,2,NC,-1.0,D,-1,1,21,2,0.3
235,PA,N,0.0,A,1.0,1,NC,-1.0,P,-1,2,18,0,0.2
236,PE,N,1.0,A,1.0,2,NC,-1.0,H,-1,2,19,2,0.2
237,PA,N,1.0,P,1.0,1,NC,4.0,H,1,0,20,2,0.03333333333333333
238,PB,N,1.0,P,1.0,1,NC,1.0,P,1,0,21,1,0.12
239,PB,S,1.0,P,1.0,1,NC,1.0,D,-1,1,21,1,0.28
240,PB,S,0.0,A,1.0,2,NC,2.0,D,3,5,19,2,0.36
241,PE,S,1.0,A,1.0,1,NC,-1.0,D,-1,1,20,2,0.2
242,PA,N,1.0,P,1.0,1,NC,-1.0,D,3,2,21,1,0.26666666666666666
243,PB,S,0.0,A,1.0,2,NC,-1.0,P,-1,2,21,2,0.12
244,PB,S,0.0,A,1.0,1,NC,1.0,D,1,3,21,1,0.24
245,PA,S,2.0,A,1.0,1,NC,-1.0,D,3,3,20,2,0.2
246,PA,S,1.0,A,1.0,2,NC,-1.0,H,-1,10,20,2,0.5
247,PE,N,0.0,P,1.0,2,NC,-1.0,H,3,0,20,1,0.13333333333333333
248,PA,N,0.0,P,1.0,2,NC,-1.0,H,-1,1,21,1,0.16666666666666666
249,PE,S,1.0,A,1.0,2,NC,-1.0,H,3,3,18,0,0.4666666666666667
250,PA,S,1.0,P,1.0,1,NC,2.0,H,1,0,21,2,0.1
251,PE,S,1.0,A,3.0,2,NC,4.0,D,-1,2,19,2,0.26666666666666666
252,PA,N,2.0,P,1.0,1,NC,1.0,H,2,0,20,1,0.13333333333333333
253,PB,S,0.0,A,1.0,2,NC,1.0,D,-1,3,19,1,0.2
254,PB,S,0.0,P,1.0,2,NC,-1.0,D,-1,0,21,1,0.08
255,PE,S,1.0,P,1.0,1,NC,-1.0,P,1,0,21,1,0.26666666666666666
256,PC,S,0.0,A,1.0,2,NC,2.0,D,1,5,19,1,0.2857142857142857
257,PB,S,1.0,A,1.0,2,N,2.0,P,2,2,19,2,0.16
258,PC,N,1.0,A,1.0,1,NC,-1.0,H,3,6,20,2,0.35714285714285715
259,PD,S,1.0,A,1.0,2,NC,-1.0,D,-1,3,19,1,0.15
260,PD,S,0.0,A,1.0,2,NC,-1.0,H,-1,10,21,2,0.375
261,PA,S,2.0,A,1.0,2,NC,-1.0,D,-1,5,21,2,0.4
262,PE,N,2.0,P,1.0,1,NC,-1.0,H,-1,1,19,2,0.26666666666666666
263,PA,S,2.0,P,1.0,2,NC,-1.0,P,3,5,20,2,0.5666666666666667
264,PE,N,1.0,P,1.0,2,NC,-1.0,D,-1,0,18,0,0.0
265,PC,S,1.0,P,1.0,2,NC,-1.0,P,-1,1,19,2,0.21428571428571427
266,PD,S,1.0,A,1.0,1,NC,-1.0,H,-1,8,20,1,0.35
267,PC,N,1.0,P,1.0,1,NC,-1.0,P,-1,2,19,2,0.25
268,PA,N,1.0,P,1.0,2,NC,2.0,D,2,0,21,2,0.2
269,PC,N,1.0,P,1.0,2,NC,-1.0,P,-1,1,19,2,0.10714285714285714
270,PD,S,0.0,A,1.0,2,NC,1.0,P,-1,10,19,1,0.45
271,PA,S,1.0,P,1.0,2,NC,-1.0,D,-1,0,19,2,0.06666666666666667
272,PC,S,1.0,P,1.0,2,NC,-1.0,D,2,0,19,1,0.03571428571428571
273,PB,S,1.0,P,1.0,2,NC,-1.0,P,1,1,19,1,0.24
274,PB,N,0.0,P,1.0,2,NC,2.0,D,1,1,19,1,0.2
275,PC,S,2.0,P,2.0,1,S,1.0,D,3,1,21,1,0.2857142857142857
276,PA,N,1.0,P,1.0,1,N,1.0,H,2,0,19,2,0.06666666666666667
277,PA,S,0.0,A,1.0,1,S,3.0,P,2,2,18,0,0.13333333333333333
278,PA,N,1.0,A,1.0,2,NC,-1.0,H,-1,2,19,1,0.13333333333333333
279,PA,N,0.0,A,1.0,1,NC,1.0,H,-1,2,21,1,0.13333333333333333
280,PC,S,0.0,P,1.0,1,NC,2.0,H,1,0,21,2,0.03571428571428571
281,PC,S,1.0,A,1.0,1,NC,-1.0,D,-1,6,18,0,0.35714285714285715
282,PC,S,1.0,A,1.0,1,NC,-1.0,P,-1,2,20,1,0.10714285714285714
283,PC,N,2.0,P,1.0,1,N,1.0,P,1,0,19,1,0.03571428571428571
284,PA,S,0.0,P,1.0,2,NC,1.0,D,-1,1,18,0,0.26666666666666666
285,PC,S,2.0,A,1.0,2,NC,1.0,P,-1,2,20,2,0.17857142857142858
286,PA,N,0.0,P,1.0,1,NC,-1.0,H,-1,2,18,0,0.26666666666666666
287,PC,S,2.0,P,1.0,1,NC,1.0,D,2,0,18,0,0.10714285714285714
288,PC,N,1.0,P,1.0,1,NC,-1.0,P,-1,0,21,1,0.14285714285714285
289,PA,N,2.0,A,1.0,2,N,1.0,D,1,7,19,2,0.43333333333333335
290,PA,N,2.0,P,1.0,1,NC,1.0,H,1,0,21,2,0.1
291,PE,N,0.0,P,1.0,1,NC,-1.0,P,3,0,20,1,0.2
292,PA,N,0.0,A,1.0,2,NC,1.0,P,-1,6,21,1,0.36666666666666664
293,PC,N,1.0,A,1.0,2,NC,1.0,H,2,5,19,2,0.42857142857142855
294,PA,S,1.0,A,2.0,2,NC,1.0,H,-1,7,20,2,0.36666666666666664
295,PC,S,1.0,P,1.0,2,NC,-1.0,P,-1,2,20,2,0.2857142857142857
296,PB,S,1.0,P,1.0,1,S,1.0,H,4,1,21,2,0.28
297,PA,S,1.0,A,1.0,2,NC,-1.0,P,-1,5,21,2,0.23333333333333334
298,PC,N,2.0,P,1.0,1,NC,-1.0,P,-1,0,21,1,0.03571428571428571
299,PA,S,0.0,A,1.0,2,S,1.0,P,1,4,19,1,0.23333333333333334
300,PB,S,2.0,A,1.0,2,NC,1.0,H,-1,4,20,1,0.28
301,PC,S,2.0,P,1.0,2,NC,-1.0,D,-1,1,21,2,0.2857142857142857
302,PC,S,1.0,A,1.0,1,NC,1.0,P,1,4,18,0,0.25
303,PB,S,1.0,A,1.0,2,NC,-1.0,H,-1,6,19,1,0.52
304,PA,N,1.0,P,1.0,1,NC,2.0,H,1,1,20,1,0.26666666666666666
305,PC,S,2.0,P,1.0,2,NC,1.0,H,1,0,20,2,0.03571428571428571
306,PB,S,1.0,A,2.0,2,N,1.0,H,1,3,21,1,0.32
307,PB,S,1.0,P,2.0,2,NC,1.0,D,-1,1,20,1,0.24
308,PB,S,1.0,A,1.0,2,NC,-1.0,D,-1,2,19,2,0.16
309,PC,N,1.0,P,1.0,1,NC,2.0,H,1,0,21,1,0.03571428571428571
310,PC,S,1.0,A,1.0,2,NC,1.0,D,1,4,20,2,0.21428571428571427
311,PA,S,0.0,A,2.0,1,NC,-1.0,D,-1,4,18,0,0.4
312,PA,N,0.0,P,1.0,1,NC,1.0,H,-1,1,19,2,0.16666666666666666
313,PC,N,0.0,A,1.0,2,NC,-1.0,P,3,2,18,0,0.10714285714285714
314,PC,N,1.0,A,1.0,1,N,1.0,P,2,3,18,0,0.17857142857142858
315,PA,S,2.0,A,1.0,2,NC,-1.0,P,3,5,18,0,0.4
316,PA,N,1.0,P,1.0,2,NC,1.0,P,1,1,21,1,0.26666666666666666
317,PC,S,1.0,A,1.0,2,NC,-1.0,H,-1,4,21,2,0.35714285714285715
